cos_heading,sin_heading,cos_goal_dir,sin_goal_dir,local_obstacle_density,teammate_distance_norm,target_dx,target_dy
6.123233995736766e-17,1.0,0.24253562503633297,0.9701425001453319,0.0,1.0,0.0,1.0
0.7071067811865474,-0.7071067811865477,0.7071067811865476,-0.7071067811865476,0.0,1.0,0.0,0.0
6.123233995736766e-17,1.0,0.31622776601683794,0.9486832980505138,0.0,1.0,0.0,1.0
0.17364817766692997,-0.9848077530122081,0.7071067811865476,-0.7071067811865476,0.0,1.0,0.0,-1.0
6.123233995736766e-17,1.0,0.4472135954999579,0.8944271909999159,0.0,1.0,0.0,0.0
-1.8369701987210297e-16,-1.0,0.8320502943378437,-0.5547001962252291,0.0,1.0,0.0,0.0
0.573576436351046,0.8191520442889918,0.4472135954999579,0.8944271909999159,0.0,1.0,0.0,0.0
-0.5735764363510464,-0.8191520442889916,0.8320502943378437,-0.5547001962252291,0.0,1.0,0.0,0.0
0.9396926207859084,0.3420201433256687,1.0,0.0,0.0,1.0,1.0,0.0
-1.8369701987210297e-16,-1.0,0.8944271909999159,-0.4472135954999579,0.0,1.0,0.0,0.0
1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
0.573576436351046,-0.8191520442889918,0.8944271909999159,-0.4472135954999579,0.0,1.0,1.0,-1.0
1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
0.7071067811865474,-0.7071067811865477,0.9486832980505138,-0.31622776601683794,0.0,1.0,0.0,0.0
1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
0.984807753012208,-0.1736481776669304,0.9486832980505138,-0.31622776601683794,0.0,1.0,1.0,0.0
1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
1.0,0.0,0.8944271909999159,-0.4472135954999579,0.0,1.0,0.0,0.0
1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.8191520442889916,-0.5735764363510465,0.8944271909999159,-0.4472135954999579,0.0,1.0,1.0,-1.0
1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.7071067811865474,-0.7071067811865477,1.0,0.0,0.0,1.0,0.0,0.0
0.8191520442889918,0.573576436351046,-0.39391929857916763,0.9191450300180578,0.0,1.0,0.0,0.0
0.984807753012208,-0.1736481776669304,0.9805806756909202,0.19611613513818404,0.0,1.0,1.0,0.0
0.3420201433256688,0.9396926207859083,-0.39391929857916763,0.9191450300180578,0.0,1.0,0.0,0.0
1.0,0.0,0.9701425001453319,0.24253562503633297,0.0,1.0,1.0,0.0
-0.25881904510252085,0.9659258262890683,-0.39391929857916763,0.9191450300180578,0.0,1.0,-1.0,1.0
1.0,0.0,0.9805806756909202,0.19611613513818404,0.0,1.0,1.0,0.0
-0.7071067811865475,0.7071067811865476,-0.31622776601683794,0.9486832980505138,0.0,1.0,-1.0,1.0
1.0,0.0,0.9701425001453319,0.24253562503633297,0.0,1.0,1.0,0.0
-0.7071067811865475,0.7071067811865476,-0.19611613513818404,0.9805806756909202,0.0,1.0,0.0,0.0
1.0,0.0,0.9486832980505138,0.31622776601683794,0.0,1.0,0.0,0.0
-0.1736481776669303,0.984807753012208,-0.19611613513818404,0.9805806756909202,0.0,1.0,0.0,0.0
0.8191520442889916,-0.5735764363510465,0.9486832980505138,0.31622776601683794,0.0,1.0,0.0,0.0
0.42261826174069944,0.9063077870366499,-0.19611613513818404,0.9805806756909202,0.0,1.0,0.0,0.0
0.342020143325669,-0.9396926207859083,0.9486832980505138,0.31622776601683794,0.0,1.0,0.0,0.0
0.8660254037844387,0.49999999999999994,-0.19611613513818404,0.9805806756909202,0.0,1.0,0.0,0.0
-0.25881904510252063,-0.9659258262890683,0.9486832980505138,0.31622776601683794,0.0,1.0,0.0,0.0
0.9961946980917455,-0.08715574274765832,-0.19611613513818404,0.9805806756909202,0.0,1.0,0.0,0.0
-0.766044443118978,-0.6427876096865393,0.9486832980505138,0.31622776601683794,0.0,1.0,0.0,0.0
0.7660444431189778,-0.6427876096865396,-0.19611613513818404,0.9805806756909202,0.0,1.0,0.0,0.0
-0.9961946980917455,-0.08715574274765794,0.9486832980505138,0.31622776601683794,0.0,1.0,-3.0,0.0
0.7071067811865474,-0.7071067811865477,-0.19611613513818404,0.9805806756909202,0.0,1.0,2.0,-2.0
-1.0,1.2246467991473532e-16,0.9863939238321437,0.1643989873053573,0.0,1.0,0.0,0.0
0.7071067811865474,-0.7071067811865477,-0.39391929857916763,0.9191450300180578,0.0,1.0,0.0,0.0
-0.8191520442889919,0.5735764363510459,0.9863939238321437,0.1643989873053573,0.0,1.0,0.0,0.0
0.17364817766692997,-0.9848077530122081,-0.39391929857916763,0.9191450300180578,0.0,1.0,0.0,0.0
-0.3420201433256687,0.9396926207859084,0.9863939238321437,0.1643989873053573,0.0,1.0,0.0,0.0
-0.42261826174069916,-0.90630778703665,-0.39391929857916763,0.9191450300180578,0.0,1.0,0.0,0.0
0.25881904510252074,0.9659258262890683,0.9863939238321437,0.1643989873053573,0.0,1.0,0.0,0.0
-0.8660254037844386,-0.5000000000000001,-0.39391929857916763,0.9191450300180578,0.0,1.0,0.0,0.0
0.766044443118978,0.6427876096865393,0.9863939238321437,0.1643989873053573,0.0,1.0,0.0,0.0
-0.9961946980917455,0.0871557427476582,-0.39391929857916763,0.9191450300180578,0.0,1.0,0.0,0.0
0.9961946980917455,0.08715574274765817,0.9863939238321437,0.1643989873053573,0.0,1.0,1.0,0.0
